Registration,POD,Security Type,Confirm #,Issue Date,Maturity Date,Interest Rate,Status,Amount,Current Value
Vivian R Marshall,,Series I Savings Bond,IAAAN,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Vivian R Marshall,,Series I Savings Bond,IAAAP,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Vivian R Marshall,,Series I Savings Bond,IAAAL,12/1/2023,12/1/2053,4.66%,Active,"$1,000.00 ","$1,107.60 "
Vivian R Marshall,,Series I Savings Bond,IAAAM,12/1/2023,12/1/2053,4.66%,Active,$500.00 ,$553.80 
Vivian R Marshall,,Series I Savings Bond,IAAAK,1/1/2023,1/1/2053,3.75%,Active,"$1,000.00 ","$1,138.40 "
Vivian R Marshall,,Series I Savings Bond,IAAAI,9/1/2022,9/1/2052,3.12%,Active,$400.00 ,$468.80 
Vivian R Marshall,,Series I Savings Bond,IAAAJ,9/1/2022,9/1/2052,3.12%,Active,$400.00 ,$468.80 
Vivian R Marshall,,Series I Savings Bond,IAAAH,8/1/2022,8/1/2052,3.34%,Active,$400.00 ,$470.08 
Vivian R Marshall,,Series I Savings Bond,IAAAG,7/1/2022,7/1/2052,3.34%,Active,$400.00 ,$471.20 
Vivian R Marshall,,Series I Savings Bond,IAAAF,4/1/2022,4/1/2052,3.12%,Active,$400.00 ,$484.32 
Vivian R Marshall,,Series I Savings Bond,IAAAE,3/1/2022,3/1/2052,3.12%,Active,$400.00 ,$485.60 
Vivian R Marshall,,Series I Savings Bond,IAAAD,2/1/2022,2/1/2052,3.34%,Active,$200.00 ,$243.36 
Vivian R Marshall,,Series I Savings Bond,IAAAC,1/1/2022,1/1/2052,3.34%,Active,$200.00 ,$244.00 
Vivian R Marshall,,Series I Savings Bond,IAAAA,12/1/2021,12/1/2051,3.34%,Active,$200.00 ,$244.64 
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAZ,1/1/2026,1/1/2056,4.26%,Active,$500.00 ,$506.60 
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAY,4/1/2025,4/1/2055,4.34%,Active,"$1,000.00 ","$1,040.00 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAX,3/1/2025,3/1/2055,4.34%,Active,"$1,000.00 ","$1,044.00 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAW,10/1/2024,10/1/2054,4.44%,Active,$500.00 ,$531.80 
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAU,8/1/2024,8/1/2054,4.66%,Active,"$2,000.00 ","$2,142.40 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAV,8/1/2024,8/1/2054,4.66%,Active,"$1,000.00 ","$1,071.20 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAT,7/1/2024,7/1/2054,4.66%,Active,"$2,000.00 ","$2,150.40 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAQ,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAR,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAS,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Vivian R Marshall,Henry J Marshall,Series I Savings Bond,IAAAO,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
